0;Concurso;Data Sorteio;1ª Dezena;2ª Dezena;3ª Dezena;4ª Dezena;5ª Dezena;6ª Dezena;Arrecadacao_Total;Ganhadores_Sena;Cidade;UF;Rateio_Sena;Ganhadores_Quina;Rateio_Quina;Ganhadores_Quadra;Rateio_Quadra;Acumulado;Valor_Acumulado;Estimativa_Prêmio;Acumulado_Mega_da_Virada
184;182;28/08/1999;46;60;05;10;28;03;000;0;;;000;239;9.95478;17413;13613;SIM;17.428.19422;000;000
185;183;04/09/1999;16;11;07;40;44;02;000;0;;;000;306;9.46879;20677;13960;SIM;20.905.13140;000;000
186;184;11/09/1999;09;60;21;16;41;34;000;0;;;000;217;14.69997;15462;20553;SIM;24.733.00315;000;000
187;185;18/09/1999;59;17;22;46;43;55;000;0;;;000;366;12.27586;24849;18013;SIM;30.124.56109;000;000
188;186;25/09/1999;24;26;51;25;14;23;000;0;;;000;352;17.07224;31164;19210;SIM;37.335.87486;000;000
189;187;02/10/1999;06;44;58;41;36;48;000;0;;;000;397;23.05835;39365;23166;SIM;48.320.87360;000;000
190;188;10/10/1999;34;42;43;46;27;17;000;1;;;64.905.51765;1200;11.51711;90235;15258;NÃO;000;000;000
191;189;16/10/1999;41;53;38;04;31;15;000;0;;;000;61;23.47618;5485;26009;SIM;1.718.45625;000;000
192;190;24/10/1999;32;40;42;21;10;05;000;0;;;000;304;14.92396;21481;21041;SIM;44.895.98805;000;000
193;191;31/10/1999;58;05;41;03;01;23;000;1;;;50.968.41258;383;13.21241;30477;16541;NÃO;000;000;000
194;192;06/11/1999;01;60;26;41;28;54;000;0;;;000;53;23.00508;4403;27587;SIM;1.463.12278;000;000
195;193;13/11/1999;12;04;11;49;43;19;000;0;;;000;190;7.19987;11415;11939;SIM;3.104.69258;000;000
196;194;20/11/1999;32;42;43;25;28;33;000;0;;;000;106;12.86240;7456;18218;SIM;4.740.78992;000;000
197;195;27/11/1999;17;03;44;37;09;32;000;1;;AM;6.370.25064;339;4.00556;13819;9789;NÃO;000;000;000
198;196;04/12/1999;32;17;09;14;24;07;000;0;;;000;182;5.30916;10493;9175;SIM;1.159.52095;000;000
199;197;11/12/1999;19;52;29;15;12;05;000;0;;;000;128;8.25915;8720;12078;SIM;2.428.12598;000;000
